Movie name,Movie rate,Description,Creators,Trailer link,More Info
Werewolves of the Third Reich,2.9,"In Germany at the height of World War II, a ragtag group of American soldiers discover Doctor Mengele's diabolical plan to create an unstoppable army of Nazi werewolves.",Andrew Jones,https://www.youtube.com/watch?v=OjnaqzJiHHk,https://www.themoviedb.org/movie/481952
Race for the Yankee Zephyr,5.8,"In a lake high in the mountains of New Zealand hunter Gibbie Gibson discovers a plane wreck from WW2. When he tells it around, a gang of crooks follows and threatens him and his daughter, because they know there are 50 million dollars in the wreck. Helicopter pilot Barney helps Gibbie against them, risking his life thereby.",David Hemmings,https://www.youtube.com/watch?v=rcI81793Qdw,https://www.themoviedb.org/movie/86295
Friend: The Great Legacy,6.7,"Joon-seok is sent to prison for his involvement in Dong-soo's death. He meets Dong-soo's son in prison, keeps his identity a secret, and agrees to join forces when he is released. All of their plans fall apart when Sung-hoon finds out the truth.",Kwak Kyung-taek,https://www.youtube.com/watch?v=hd2fixmpuBY,https://www.themoviedb.org/movie/238010
King Kong,6.89,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",Peter Jackson,https://www.youtube.com/watch?v=9extfjDZCts,https://www.themoviedb.org/movie/254
The Legend of Ochi,6.283,"In a remote village on the island of Carpathia, a shy farm girl named Yuri is raised to fear an elusive animal species known as ochi. But when Yuri discovers a wounded baby ochi has been left behind, she escapes on a quest to bring him home.",Isaiah Saxon,https://www.youtube.com/watch?v=_jTFLg3arYU,https://www.themoviedb.org/movie/896536
Homeless to Harvard: The Liz Murray Story,7.3,"Based on a true story. Liz Murray is a young girl who is taken care of by her loving, but drug-addicted parents. Liz becomes homeless at 15 and after a tragedy comes upon her, she begins her work to finish high school.",Peter Levin,N/A,https://www.themoviedb.org/movie/80219
未亡人銭湯 おっぱいの時間ですよ！,0.0,,Yutaka Ikejima,N/A,https://www.themoviedb.org/movie/1355621
Homeless to Harvard: The Liz Murray Story,7.3,"Based on a true story. Liz Murray is a young girl who is taken care of by her loving, but drug-addicted parents. Liz becomes homeless at 15 and after a tragedy comes upon her, she begins her work to finish high school.",Peter Levin,N/A,https://www.themoviedb.org/movie/80219
未亡人銭湯 おっぱいの時間ですよ！,0.0,,Yutaka Ikejima,N/A,https://www.themoviedb.org/movie/1355621
The Easy Way Out,5.1,"Patrick, a travel agent in his early 30s, lives with Arthur, an immigration lawyer; but for a long time, Patrick has been sleeping on an air mattress on the floor of their bedroom. His younger brother, Tony, plans to marry his high school sweetheart but is having an affair that is far more satisfying than his relationship with his fiancee. Their older brother, Ryan, is divorced, living at home and working at his parents’ hopelessly unprofitable men’s clothing store. And McCauley soon makes achingly clear that the parents’ marriage is far from happy.",Brice Cauvin,https://www.youtube.com/watch?v=r0GyVisxBpY,https://www.themoviedb.org/movie/326874
Men in Black,7.213,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",Barry Sonnenfeld,https://www.youtube.com/watch?v=HYUd7AOw_lk,https://www.themoviedb.org/movie/607
Homefront,6.9,"Phil Broker is a former DEA agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss' son. He is recently widowed and is left with a 9-years-old daughter, Maddy. He decides to quit the turbulent and demanding life of thrill for Maddy's sake and retires to a small town. His daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local Meth drug lord. His past history with the biker gang also enters the arena, making matters more complex. But he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands.",Gary Fleder,https://www.youtube.com/watch?v=BjFTuZH7E2c,https://www.themoviedb.org/movie/204082
The Brutalist,6.971,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.",Brady Corbet,https://www.youtube.com/watch?v=GdRXPAHIEW4,https://www.themoviedb.org/movie/549509
Exit 8,6.144,"A man gets lost in an underground passage. He follows the ""guide"" through the passage, but one after another, strange things happen to him. Is this space real? Or an illusion? Will the man be able to escape the passage?",Genki Kawamura,https://www.youtube.com/watch?v=emZZexEJO8c,https://www.themoviedb.org/movie/1408208
LOUDER: The Soundtrack of Change,7.7,"A celebration of music and rallying cry that takes viewers on a journey across generations, eras, and genres, anchored by a female chorus of musical icons, whose songs, voices, and activism provided inspiration for the past and current fight for equality for all.",Kristi Jacobson,https://www.youtube.com/watch?v=r-6m8o8sdTA,https://www.themoviedb.org/movie/1360818
Eddington,6.416,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",Ari Aster,https://www.youtube.com/watch?v=ytyBfsqN3eI,https://www.themoviedb.org/movie/648878
Boso,4.2,Jake (Jeffrey Quizon) is a caretaker at a boarding residence that houses a whole array of characters. But one day his life changes when he hovers over the lives of newlyweds Cecilia (Katya Santos) and Ding (Allen Dizon).,Jon Red,N/A,https://www.themoviedb.org/movie/80795
Mission: Impossible - Rogue Nation,7.218,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",Christopher McQuarrie,https://www.youtube.com/watch?v=F-qBD17wwrQ,https://www.themoviedb.org/movie/177677
Skunk,6.769,"The story of Liam, a neglected teenager who lives in a family where alcohol, violence and sex play the main role. He grows up to be a confused youngster which ends in a very aggressive act to break with his past.",Koen Mortier,https://www.youtube.com/watch?v=QZdvXLmZzZA,https://www.themoviedb.org/movie/885246
The Lorax,6.51,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",Chris Renaud,https://www.youtube.com/watch?v=XbGnmKPSq9k,https://www.themoviedb.org/movie/73723
E.T. the Extra-Terrestrial,7.513,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",Steven Spielberg,https://www.youtube.com/watch?v=NsvdZ_z56c0,https://www.themoviedb.org/movie/601
The Torture Club,5.3,"The ""Torture Club"" is an official after-school activity at the private school Saint Honesty Gakuen. Yuzuki has no idea about the club when she enrolls, and gets abducted by the club members and hauled off the club-room. There, she finds out that upper-class student Aoi, her secret idol, is in the club, and decides to join, but…",Kōta Yoshida,N/A,https://www.themoviedb.org/movie/297090
Snow Dogs,5.6,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",Brian Levant,https://www.youtube.com/watch?v=g8OgyRrNL1A,https://www.themoviedb.org/movie/11888
The Fate of the Furious,6.862,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",F. Gary Gray,https://www.youtube.com/watch?v=iVdIiOKBPkg,https://www.themoviedb.org/movie/337339
Venom: Let There Be Carnage,6.764,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Andy Serkis,https://www.youtube.com/watch?v=GVwq2HlKYpE,https://www.themoviedb.org/movie/580489
Through My Window,7.363,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",Marçal Forés,https://www.youtube.com/watch?v=_zxhK3Z-R0c,https://www.themoviedb.org/movie/818647
Hide in Plain Sight,5.3,True story of a man in search of his children after his ex-wife enters the Witness Protection Program.,James Caan,https://www.youtube.com/watch?v=nfq-mRGRsM8,https://www.themoviedb.org/movie/48949
Strange Blood,3.6,"When a brilliant but obsessive scientist goes to extremes to develop a universal cure for all disease, he finds himself infected with a bizarre parasite that begins to transform him into a bloodthirsty madman. Time running out, he must find a way to stop the monster that is growing within and prevent the rest of the world from being ""cured.""",Chad Michael Ward,https://www.youtube.com/watch?v=DsG1-Vg68Ik,https://www.themoviedb.org/movie/321668
